	1713
aspersion	1
aspickes	1
aspir'd	1
aspiring	1
aspitious	1
asquint	1
ass	20
ass-head	1
assaies	1
assail	2
assail'd	2
assailant	1
assailants	1
assaileable	1
assailes	1
assailing	1
assassination	1
assault	3
assaulted	1
assaults	2
assay	6
assay'd	2
assayes	1
assayled	1
assays	1
asse	23
asse-head	1
assemble	2
assembled	4
assembly	8
asses	8
assign'd	1
assigne	1
assigns	2
assist	7
assistance	9
assistant	3
assistants	1
assisted	1
assisting	1
associate	1
associated	40
associates	1
assume	11
assumes	1
assur'd	19
assurance	22
assure	28
assured	7
assuredly	1
assyrian	1
astonish	1
astonished	1
astonisht	1
astray	1
astronomical	1
astronomy	1
asture	1
asunder	5
aswell	1
at	1090
at--closes	1
atalanta's	2
atchieu'd	2
atchieue	1
atchieued	1
atchieuement	1
atchieuer	1
ate	2
atendants	1
athenian	15
athenians	2
athens	20
athuersarie	3
athwart	4
atomies	3
atone	1
atonement	1
attach	2
attached	5
attach’d	1
attain'd	1
attainder	1
attaine	3
attaines	1
attaint	3
attainted	1
attempt	15
attempting	1
attempts	4
attend	47
attendance	4
attendant	9
attendants	48
attended	11
attendents	1
attendeth	1
attending	14
attends	8
attend’st	1
attent	1
attentiue	1
attentive	1
attest	2
attested	1
attire	6
attired	1
attires	2
attone	1
attorney	3
attorneys	1
attractiue	1
attractive	1
attracts	1
attribute	3
attyre	3
atwain	1
at’s	2
au	1
auant	2
auarice	2
auaricious	1
auaunt	2
aucune	1
audacious	1
audience	13
audit	5
auditor	1
audre'y	1
audrey	32
aue	2
aueng'd	1
aues	1
aught	26
augment	2
augmentation	1
augmented	1
augmenting	2
augure	1
augurers	2
augures	1
augurs	1
augury	1
august	1
aule	1
aunchentry	1
aunchiant	1
aunchient	7
aunciant	2
auncient	1
aunt	6
aunt-mother	1
auntient	1
auoid	2
auoide	1
auouch	4
auouches	1
auouchment	1
auoyd	2
auoyded	2
auoydes	1
auricular	1
aurora's	1
auroras	1
ausi	1
auspicious	4
aussi	1
austere	1
austerely	1
austerity	2
author	5
authorithy	1
authoritie	3
authorities	2
authority	8
authoriz'd	1
authorizing	1
authors	3
author’s	1
autrefoys	1
autumn	3
autumn's	1
autumne	2
available	11
avaunt	2
aveng'd	1
avenged	1
avert	1
avoid	12
avoided	3
avouch	2
avouch't	1
avouched	1
awa	1
awaie	2
awak'd	7
awak't	1
awake	50
awake!--why	1
awaked	2
awakened	1
awakes	1
awaking	2
award	1
awards	3
away	322
away!--go	1
away--you	5
awe	10
aweary	1
aweless	1
awful	1
awhile	36
awkward	1
awl'd	1
awork	1
awry	2
axe	5
ay	211
ayd	1
ayde	2
aye	11
ayle	1
aym'd	1
ayme	8
ayre	36
ayre-drawne-dagger	1
ayre-lesse	1
azured	1
b	22
b.can	2
b.cant	6
b.ely	6
babble	1
babbling	3
babe	12
babes	12
babie	1
babies	1
bable	1
babling	1
baboone	1
baboones	1
baby	3
baby's	1
baby-brow	1
babyes	1
babylon	2
bacare	1
bachanals	1
bachelor	5
back	99
back'd	1
back-trick	1
backe	51
backed	1
backeward	1
backs	5
backward	11
bad	80
bad'st	1
bad-causer	1
bade	10
badest	1
badg	1
badg'd	1
badge	3
badges	2
badness	3
baes	1
baffle	1
baffled	1
bag	4
bag-pipe	2
bag-piper	1
baggage	4
bagge	1
bags	5
bail	2
bain'd	1
baisant	1
baisee	1
bait	3
baite	8
baited	3
bak'd	3
bake	1
baked	1
baker's	1
bakes	1
bal	9
bald	4
baldricke	1
baleful	1
balk	1
ball	2
ballad	2
ballance	3
balles	4
ballet	1
ballet-makers	1
ballow	1
balls	2
balm	3
balm'd	1
balme	2
balmy	3
bals	1
balt	2
balth	6
balthasar	13
balthaser	1
balthazar	1
ban	10
band	6
bands	4
bandy	5
bandying	1
bane	1
banes	1
bang	1
bang'd	1
banged	1
banish	2
banish'd	23
banished	27
banishment	15
banish’d	2
bank	3
banke	4
bankes	3
bankrout	4
bankrupt	2
banks	3
banner	3
banners	4
banns	2
banq	24
banqu'rout	1
banquet	13
banquets	2
banquetting	1
banquo	34
banquo's	5
banquoh	1
bans	1
baptisme	2
baptista	107
baptista's	11
baptiz'd	1
bar	22
bar'd	1
barbarian	1
barbarie	2
barbarous	7
barbary	5
barbason	1
barbed	1
barber's	2
barbermonger	1
barbers	3
bard	8
